name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status_binary
1 Mainstream,"['Apps', 'Cable', 'Distribution', 'Software']",5000000.0,USA,CA,2012-03-01 00:00:00.000000000,1,2015-03-17,2015-03-17,1
1000 Markets,"['Art', 'E-Commerce', 'Marketplaces']",500000.0,USA,WA,2009-01-01 00:00:00.000000000,1,2009-05-15,2009-05-15,1
1000memories,['Curated Web'],2535000.0,USA,CA,2010-07-01 00:00:00.000000000,2,2010-01-01,2011-02-16,1
100Plus,['Analytics'],1250000.0,USA,CA,2011-09-16 00:00:00.000000000,2,2011-11-02,2011-11-30,1
1010data,['Software'],35000000.0,USA,NY,2000-01-01 00:00:00.000000000,1,2010-03-08,2010-03-08,1
10BestThings,['Curated Web'],50000.0,USA,OH,2009-04-01 00:00:00.000000000,1,2009-04-01,2009-04-01,0
11i Solutions,['Enterprise Software'],1800000.0,USA,AL,2006-12-09 13:31:02.880490288,1,2011-03-22,2011-03-22,0
yelster digital gmbh (former 123people),"['Local Search', 'Software', 'Web Design']",22966913.78341673,AUT,9,2007-01-01 00:00:00.000000000,1,2008-01-01,2008-01-01,1
12Society,['E-Commerce'],41358853.86867132,USA,CA,2012-01-01 00:00:00.000000000,1,2012-04-05,2012-04-05,1
13th Lab,"['Augmented Reality', 'Computer Vision', 'Games', 'iPad', 'Mobile']",700000.0,SWE,26,2010-01-01 00:00:00.000000000,1,2012-06-15,2012-06-15,1
169 ST.,"['Entertainment', 'Games']",50000.0,USA,FL,2009-05-15 00:00:00.000000000,1,2009-06-01,2009-06-01,0
170 Systems,['Software'],14000000.0,USA,MA,1990-01-01 00:00:00.000000000,1,2002-04-16,2002-04-16,1
180Solutions,"['Advertising', 'Advertising Platforms', 'Promotional']",40000000.0,USA,WA,1999-12-24 13:31:02.880490288,1,2004-04-05,2004-04-05,0
1bib,"['Cars', 'Curated Web']",171682000.60144928,CHN,30,2006-01-01 00:00:00.000000000,1,2008-02-07,2008-02-07,0
